density,tasks,k,method,normalized_accuracy,mean_raw_accuracy
0.05,Cars|DTD,2,ties,0.6917333090997213,0.5315
0.05,Cars|EuroSAT,2,ties,0.6681502931502932,0.5680000000000001
0.05,Cars|GTSRB,2,ties,0.6031023070496755,0.5015000000000001
0.05,Cars|MNIST,2,ties,0.7203681149267909,0.6205
0.05,Cars|RESISC45,2,ties,0.7336000790357637,0.623
0.05,Cars|SUN397,2,ties,0.850203893712181,0.6285000000000001
0.05,Cars|SVHN,2,ties,0.6104119425547997,0.5065
0.05,DTD|EuroSAT,2,ties,0.5461969603190977,0.484
0.05,DTD|GTSRB,2,ties,0.47983949892346844,0.41600000000000004
0.05,DTD|MNIST,2,ties,0.6025742622268841,0.5405
0.05,DTD|RESISC45,2,ties,0.6153814682250589,0.5425
0.05,DTD|SUN397,2,ties,0.7337733541394289,0.549
0.05,DTD|SVHN,2,ties,0.4886846341590071,0.4235
0.05,EuroSAT|GTSRB,2,ties,0.45158366868893185,0.449
0.05,EuroSAT|MNIST,2,ties,0.5782151258580547,0.577
0.05,EuroSAT|RESISC45,2,ties,0.6012921635328274,0.589
0.05,EuroSAT|SUN397,2,ties,0.713469685154768,0.5895
0.05,EuroSAT|SVHN,2,ties,0.45131917631917634,0.447
0.05,GTSRB|MNIST,2,ties,0.5127599397382431,0.5095000000000001
0.05,GTSRB|RESISC45,2,ties,0.5247513733263898,0.5105
0.05,GTSRB|SUN397,2,ties,0.6364635292012437,0.5105
0.05,GTSRB|SVHN,2,ties,0.41216433941997854,0.40549999999999997
0.05,MNIST|RESISC45,2,ties,0.6453046900036208,0.6325000000000001
0.05,MNIST|SUN397,2,ties,0.7581917021783583,0.6345000000000001
0.05,MNIST|SVHN,2,ties,0.5700090066116718,0.5645
0.05,RESISC45|SUN397,2,ties,0.7765296531487129,0.642
0.05,RESISC45|SVHN,2,ties,0.5278008298755187,0.512
0.05,SUN397|SVHN,2,ties,0.6445709775622956,0.518
0.1,Cars|DTD,2,ties,0.7111454420614727,0.5465
0.1,Cars|EuroSAT,2,ties,0.7141248391248392,0.612
0.1,Cars|GTSRB,2,ties,0.6427259387785703,0.5385
0.1,Cars|MNIST,2,ties,0.7755840272139168,0.673
0.1,Cars|RESISC45,2,ties,0.7550220641506948,0.642
0.1,Cars|SUN397,2,ties,0.8677504457891199,0.6415
0.1,Cars|SVHN,2,ties,0.6606386999244142,0.5535
0.1,DTD|EuroSAT,2,ties,0.5985011729286538,0.5329999999999999
0.1,DTD|GTSRB,2,ties,0.5215241936314656,0.45499999999999996
0.1,DTD|MNIST,2,ties,0.657154032070767,0.5925
0.1,DTD|RESISC45,2,ties,0.6438992007432982,0.5675
0.1,DTD|SUN397,2,ties,0.7540926855327345,0.5645
0.1,DTD|SVHN,2,ties,0.5487238406813106,0.4795
0.1,EuroSAT|GTSRB,2,ties,0.5174891490680964,0.5145
0.1,EuroSAT|MNIST,2,ties,0.6639021167606924,0.6625
0.1,EuroSAT|RESISC45,2,ties,0.6618973745529763,0.649
0.1,EuroSAT|SUN397,2,ties,0.7557910120064817,0.6295
0.1,EuroSAT|SVHN,2,ties,0.5307031521317236,0.5255
0.1,GTSRB|MNIST,2,ties,0.5923037330615327,0.5885
0.1,GTSRB|RESISC45,2,ties,0.5671208023249954,0.552
0.1,GTSRB|SUN397,2,ties,0.6763118750978594,0.5475
0.1,GTSRB|SVHN,2,ties,0.5026790878294638,0.49450000000000005
0.1,MNIST|RESISC45,2,ties,0.7050315885415583,0.6915
0.1,MNIST|SUN397,2,ties,0.8087944773547161,0.6825
0.1,MNIST|SVHN,2,ties,0.6787111334002007,0.672
0.1,RESISC45|SUN397,2,ties,0.7982995575525551,0.6605000000000001
0.1,RESISC45|SVHN,2,ties,0.5882843593869084,0.571
0.1,SUN397|SVHN,2,ties,0.6974264291351899,0.5675
0.2,Cars|DTD,2,ties,0.7550840098550022,0.5805
0.2,Cars|EuroSAT,2,ties,0.7776169026169026,0.6735
0.2,Cars|GTSRB,2,ties,0.6945702932545037,0.5865
0.2,Cars|MNIST,2,ties,0.8479890730392234,0.742
0.2,Cars|RESISC45,2,ties,0.7956486421216711,0.6779999999999999
0.2,Cars|SUN397,2,ties,0.8854139261597825,0.6545000000000001
0.2,Cars|SVHN,2,ties,0.728968253968254,0.6174999999999999
0.2,DTD|EuroSAT,2,ties,0.6773643872880514,0.6065
0.2,DTD|GTSRB,2,ties,0.5849107869497584,0.513
0.2,DTD|MNIST,2,ties,0.738963072423377,0.6695
0.2,DTD|RESISC45,2,ties,0.6974214205019375,0.614
0.2,DTD|SUN397,2,ties,0.7825727861892511,0.5865
0.2,DTD|SVHN,2,ties,0.6288933894168354,0.5535
0.2,EuroSAT|GTSRB,2,ties,0.6070351728246466,0.6035
0.2,EuroSAT|MNIST,2,ties,0.76960711965727,0.768
0.2,EuroSAT|RESISC45,2,ties,0.744815354773861,0.731
0.2,EuroSAT|SUN397,2,ties,0.8225863985532494,0.6930000000000001
0.2,EuroSAT|SVHN,2,ties,0.6343052235909379,0.628
0.2,GTSRB|MNIST,2,ties,0.698076517000394,0.6935
0.2,GTSRB|RESISC45,2,ties,0.630365212424614,0.614
0.2,GTSRB|SUN397,2,ties,0.7257280739034155,0.5945
0.2,GTSRB|SVHN,2,ties,0.6099272907543585,0.6000000000000001
0.2,MNIST|RESISC45,2,ties,0.782465654224083,0.768
0.2,MNIST|SUN397,2,ties,0.8782078279036003,0.7484999999999999
0.2,MNIST|SVHN,2,ties,0.7789659795713673,0.771
0.2,RESISC45|SUN397,2,ties,0.8292336260058228,0.688
0.2,RESISC45|SVHN,2,ties,0.6579515623676857,0.639
0.2,SUN397|SVHN,2,ties,0.7637585973615966,0.6295
0.4,Cars|DTD,2,ties,0.7716991800961266,0.5935
0.4,Cars|EuroSAT,2,ties,0.8295795795795795,0.7230000000000001
0.4,Cars|GTSRB,2,ties,0.7362985455090718,0.6265000000000001
0.4,Cars|MNIST,2,ties,0.8864735741616384,0.7775000000000001
0.4,Cars|RESISC45,2,ties,0.8256547893477355,0.7050000000000001
0.4,Cars|SUN397,2,ties,0.9083976438948815,0.6715
0.4,Cars|SVHN,2,ties,0.7779289493575208,0.664
0.4,DTD|EuroSAT,2,ties,0.7384483720361583,0.664
0.4,DTD|GTSRB,2,ties,0.6529679306899074,0.5760000000000001
0.4,DTD|MNIST,2,ties,0.7847244022142764,0.7115
0.4,DTD|RESISC45,2,ties,0.7315270870946966,0.6445000000000001
0.4,DTD|SUN397,2,ties,0.8015653775322285,0.601
0.4,DTD|SVHN,2,ties,0.6880381160097627,0.6085
0.4,EuroSAT|GTSRB,2,ties,0.6931055549476602,0.6890000000000001
0.4,EuroSAT|MNIST,2,ties,0.836233927006244,0.8345
0.4,EuroSAT|RESISC45,2,ties,0.8056567978767148,0.7909999999999999
0.4,EuroSAT|SUN397,2,ties,0.8619551872314304,0.7310000000000001
0.4,EuroSAT|SVHN,2,ties,0.7141508855794569,0.7070000000000001
0.4,GTSRB|MNIST,2,ties,0.76718465111935,0.762
0.4,GTSRB|RESISC45,2,ties,0.6900923110521275,0.6725
0.4,GTSRB|SUN397,2,ties,0.7612482385308789,0.6285000000000001
0.4,GTSRB|SVHN,2,ties,0.7090287532016855,0.6975
0.4,MNIST|RESISC45,2,ties,0.8327326377472668,0.8175
0.4,MNIST|SUN397,2,ties,0.9160180818699192,0.7845
0.4,MNIST|SVHN,2,ties,0.8428950115653082,0.8340000000000001
0.4,RESISC45|SUN397,2,ties,0.8542932303248436,0.7105
0.4,RESISC45|SVHN,2,ties,0.7190299771360826,0.6985
0.4,SUN397|SVHN,2,ties,0.8027455180967416,0.667
0.8,Cars|DTD,2,ties,0.7754654872975484,0.5965
0.8,Cars|EuroSAT,2,ties,0.8337265837265837,0.7265
0.8,Cars|GTSRB,2,ties,0.7355970053338474,0.6255
0.8,Cars|MNIST,2,ties,0.8807971533648565,0.772
0.8,Cars|RESISC45,2,ties,0.8187556258095677,0.7
0.8,Cars|SUN397,2,ties,0.9049738372942793,0.669
0.8,Cars|SVHN,2,ties,0.7779856386999244,0.6645000000000001
0.8,DTD|EuroSAT,2,ties,0.7476350396197724,0.6725000000000001
0.8,DTD|GTSRB,2,ties,0.6510878635225763,0.5735
0.8,DTD|MNIST,2,ties,0.7871713103687654,0.7130000000000001
0.8,DTD|RESISC45,2,ties,0.7321632194102182,0.645
0.8,DTD|SUN397,2,ties,0.8030010684211266,0.6020000000000001
0.8,DTD|SVHN,2,ties,0.6931271745339358,0.6125
0.8,EuroSAT|GTSRB,2,ties,0.6951019845756687,0.6910000000000001
0.8,EuroSAT|MNIST,2,ties,0.8357284064405428,0.8340000000000001
0.8,EuroSAT|RESISC45,2,ties,0.8173863697722619,0.8025
0.8,EuroSAT|SUN397,2,ties,0.8611442934647355,0.73
0.8,EuroSAT|SVHN,2,ties,0.7273191558905845,0.72
0.8,GTSRB|MNIST,2,ties,0.7636695511636123,0.7585
0.8,GTSRB|RESISC45,2,ties,0.6907117778487073,0.673
0.8,GTSRB|SUN397,2,ties,0.7603311561947794,0.6265000000000001
0.8,GTSRB|SVHN,2,ties,0.7131021234404693,0.7015
0.8,MNIST|RESISC45,2,ties,0.8307781227499927,0.8155
0.8,MNIST|SUN397,2,ties,0.9147684767008208,0.7825
0.8,MNIST|SVHN,2,ties,0.8454460319734716,0.8365
0.8,RESISC45|SUN397,2,ties,0.8577462689988768,0.7130000000000001
0.8,RESISC45|SVHN,2,ties,0.7257049707849945,0.7050000000000001
0.8,SUN397|SVHN,2,ties,0.8013643026271282,0.666
1.0,Cars|DTD,2,ties,0.7626923542954078,0.5865
1.0,Cars|EuroSAT,2,ties,0.8235556985556987,0.7165
1.0,Cars|GTSRB,2,ties,0.7164465651307756,0.6075
1.0,Cars|MNIST,2,ties,0.8652942955851681,0.7575000000000001
1.0,Cars|RESISC45,2,ties,0.8083300401765132,0.6905
1.0,Cars|SUN397,2,ties,0.894216434271683,0.661
1.0,Cars|SVHN,2,ties,0.7632464096749811,0.6505000000000001
1.0,DTD|EuroSAT,2,ties,0.731170101399109,0.657
1.0,DTD|GTSRB,2,ties,0.6276217922963604,0.5525
1.0,DTD|MNIST,2,ties,0.7702783924291959,0.6975
1.0,DTD|RESISC45,2,ties,0.7235609156082059,0.6375
1.0,DTD|SUN397,2,ties,0.7951495789577272,0.5960000000000001
1.0,DTD|SVHN,2,ties,0.6773238302954769,0.5980000000000001
1.0,EuroSAT|GTSRB,2,ties,0.6734244365823312,0.6695
1.0,EuroSAT|MNIST,2,ties,0.8186993412670445,0.817
1.0,EuroSAT|RESISC45,2,ties,0.8016709655713805,0.787
1.0,EuroSAT|SUN397,2,ties,0.8480614592493045,0.7175
