method,metric,coefficient
weight_averaging,tv_cosine,0.0
weight_averaging,tv_l2,0.19801272570936854
weight_averaging,tv_dot,0.10040455987502558
weight_averaging,tv_norm_ratio,-0.01934150984191044
weight_averaging,tv_norm_mean,0.2906815952440521
weight_averaging,eff_rank_global,-0.14790138156453198
weight_averaging,eff_rank_layerwise,-0.1115543642195287
weight_averaging,sub_sv_overlap,-0.5843874424055627
weight_averaging,sub_left_top,0.16703419201628406
weight_averaging,sub_right_top,0.1115839087744625
weight_averaging,sub_right_bot,-0.1388288774280247
task_arithmetic,tv_cosine,0.0
task_arithmetic,tv_l2,0.18575993123870577
task_arithmetic,tv_dot,0.06742316784741605
task_arithmetic,tv_norm_ratio,-0.03418153478331477
task_arithmetic,tv_norm_mean,0.33571410895083403
task_arithmetic,eff_rank_global,-0.11723594585507022
task_arithmetic,eff_rank_layerwise,-0.12578057775653823
task_arithmetic,sub_sv_overlap,-0.5283247253168194
task_arithmetic,sub_left_top,0.17523689143329202
task_arithmetic,sub_right_top,0.17912001939210964
task_arithmetic,sub_right_bot,-0.14007967752409095
ties,tv_cosine,0.0
ties,tv_l2,0.20861990689960447
ties,tv_dot,0.007262800284577368
ties,tv_norm_ratio,-0.033901180203466955
ties,tv_norm_mean,0.5956373574911696
ties,eff_rank_global,0.009357593695356613
ties,eff_rank_layerwise,-0.07649416931165046
ties,sub_sv_overlap,-0.4091138593661502
ties,sub_left_top,0.07865740461185616
ties,sub_right_top,0.026876160240644043
ties,sub_right_bot,0.10789866409754414
