tasks,k,act_cosine,agg_min_act_cosine,agg_max_act_cosine,act_dot,agg_min_act_dot,agg_max_act_dot,act_l2,agg_min_act_l2,agg_max_act_l2,act_magnitude_ratio,agg_min_act_magnitude_ratio,agg_max_act_magnitude_ratio,grad_cosine,agg_min_grad_cosine,agg_max_grad_cosine,grad_dot,agg_min_grad_dot,agg_max_grad_dot,grad_l2,agg_min_grad_l2,agg_max_grad_l2,sub_interact_bot,agg_min_sub_interact_bot,agg_max_sub_interact_bot,sub_interact_top,agg_min_sub_interact_top,agg_max_sub_interact_top,sub_left_top,agg_min_sub_left_top,agg_max_sub_left_top,sub_right_bot,agg_min_sub_right_bot,agg_max_sub_right_bot,sub_right_top,agg_min_sub_right_top,agg_max_sub_right_top,sub_sv_overlap,agg_min_sub_sv_overlap,agg_max_sub_sv_overlap,tv_cosine,agg_min_tv_cosine,agg_max_tv_cosine,tv_dot,agg_min_tv_dot,agg_max_tv_dot,tv_l2,agg_min_tv_l2,agg_max_tv_l2,tv_norm_mean,agg_min_tv_norm_mean,agg_max_tv_norm_mean,tv_norm_ratio,agg_min_tv_norm_ratio,agg_max_tv_norm_ratio,eff_rank_global,eff_rank_layerwise
Cars|DTD,2,0.14726534485816956,0.14726534485816956,0.14726534485816956,1.0481988191604614,1.0481988191604614,1.0481988191604614,3.4841229915618896,3.4841229915618896,3.4841229915618896,0.9997996632340752,0.9997996632340752,0.9997996632340752,0.007035731337964535,0.007035731337964535,0.007035731337964535,17901.826171875,17901.826171875,17901.826171875,2254.71484375,2254.71484375,2254.71484375,0.21378606349229812,0.21378606349229812,0.21378606349229812,0.0940720197558403,0.0940720197558403,0.0940720197558403,0.21947736218571662,0.21947736218571662,0.21947736218571662,0.3676764128357172,0.3676764128357172,0.3676764128357172,0.2832543121278286,0.2832543121278286,0.2832543121278286,0.9960398495197296,0.9960398495197296,0.9960398495197296,0.03845915198326111,0.03845915198326111,0.03845915198326111,0.26001840829849243,0.26001840829849243,0.26001840829849243,3.620723247528076,3.620723247528076,3.620723247528076,2.6053271293640137,2.6053271293640137,2.6053271293640137,0.8816983258232093,0.8816983258232093,0.8816983258232093,1.9949849843978882,1.9409781694412231
Cars|EuroSAT,2,0.2564648687839508,0.2564648687839508,0.2564648687839508,4.123402118682861,4.123402118682861,4.123402118682861,5.932454586029053,5.932454586029053,5.932454586029053,0.4426171648959998,0.4426171648959998,0.4426171648959998,-2.1216847050975478e-37,-2.1216847050975478e-37,-2.1216847050975478e-37,-3.256617631090875e-42,-3.256617631090875e-42,-3.256617631090875e-42,1516.2816162109375,1516.2816162109375,1516.2816162109375,0.1582983256969601,0.1582983256969601,0.1582983256969601,0.06985590515658259,0.06985590515658259,0.06985590515658259,0.1901806677877903,0.1901806677877903,0.1901806677877903,0.31929037734866145,0.31929037734866145,0.31929037734866145,0.24423736676573754,0.24423736676573754,0.24423736676573754,0.9666107904911041,0.9666107904911041,0.9666107904911041,0.03231355920433998,0.03231355920433998,0.03231355920433998,0.20050103962421417,0.20050103962421417,0.20050103962421417,3.5050363540649414,3.5050363540649414,3.5050363540649414,2.5049257278442383,2.5049257278442383,2.5049257278442383,0.8091833824900917,0.8091833824900917,0.8091833824900917,1.9893337488174438,1.9260624647140503
Cars|GTSRB,2,0.11237576603889465,0.11237576603889465,0.11237576603889465,0.7252952456474304,0.7252952456474304,0.7252952456474304,3.3940255641937256,3.3940255641937256,3.3940255641937256,0.906955670586082,0.906955670586082,0.906955670586082,-1.973479868411232e-07,-1.973479868411232e-07,-1.973479868411232e-07,-2.992344219632237e-12,-2.992344219632237e-12,-2.992344219632237e-12,1516.2816162109375,1516.2816162109375,1516.2816162109375,0.14847369547002018,0.14847369547002018,0.14847369547002018,0.07987039588391781,0.07987039588391781,0.07987039588391781,0.19560649812221528,0.19560649812221528,0.19560649812221528,0.3075099489092827,0.3075099489092827,0.3075099489092827,0.26585274159908295,0.26585274159908295,0.26585274159908295,0.9760823047161102,0.9760823047161102,0.9760823047161102,0.038010358810424805,0.038010358810424805,0.038010358810424805,0.24430392682552338,0.24430392682552338,0.24430392682552338,3.544968843460083,3.544968843460083,3.544968843460083,2.54509174823761,2.54509174823761,2.54509174823761,0.8381933031550787,0.8381933031550787,0.8381933031550787,1.9913638830184937,1.9378440380096436
Cars|MNIST,2,0.13187190890312195,0.13187190890312195,0.13187190890312195,1.089328408241272,1.089328408241272,1.089328408241272,3.811340093612671,3.811340093612671,3.811340093612671,0.8614884670222698,0.8614884670222698,0.8614884670222698,2.3458831584092024e-14,2.3458831584092024e-14,2.3458831584092024e-14,3.5570229415488643e-19,3.5570229415488643e-19,3.5570229415488643e-19,1516.2816162109375,1516.2816162109375,1516.2816162109375,0.131733631757088,0.131733631757088,0.131733631757088,0.07428598659113049,0.07428598659113049,0.07428598659113049,0.18391735911369322,0.18391735911369322,0.18391735911369322,0.28851692341268065,0.28851692341268065,0.28851692341268065,0.25261561810970307,0.25261561810970307,0.25261561810970307,0.9425064945220947,0.9425064945220947,0.9425064945220947,0.035304002463817596,0.035304002463817596,0.035304002463817596,0.23702400922775269,0.23702400922775269,0.23702400922775269,3.6167144775390625,3.6167144775390625,3.6167144775390625,2.596823215484619,2.596823215484619,2.596823215484619,0.8755563713909044,0.8755563713909044,0.8755563713909044,1.9952512979507446,1.9395462274551392
Cars|RESISC45,2,0.2521352767944336,0.2521352767944336,0.2521352767944336,2.369419813156128,2.369419813156128,2.369419813156128,3.8454089164733887,3.8454089164733887,3.8454089164733887,0.7572647109563557,0.7572647109563557,0.7572647109563557,-7.179023953085562e-08,-7.179023953085562e-08,-7.179023953085562e-08,-1.088538764335012e-12,-1.088538764335012e-12,-1.088538764335012e-12,1516.2816162109375,1516.2816162109375,1516.2816162109375,0.21402897433843462,0.21402897433843462,0.21402897433843462,0.10085700456053019,0.10085700456053019,0.10085700456053019,0.2231216111034155,0.2231216111034155,0.2231216111034155,0.36570368506014345,0.36570368506014345,0.36570368506014345,0.2965458858013153,0.2965458858013153,0.2965458858013153,0.9957396388053894,0.9957396388053894,0.9957396388053894,0.03468220680952072,0.03468220680952072,0.03468220680952072,0.241504967212677,0.241504967212677,0.241504967212677,3.6762349605560303,3.6762349605560303,3.6762349605560303,2.6418834924697876,2.6418834924697876,2.6418834924697876,0.9081011703946362,0.9081011703946362,0.9081011703946362,1.9969664812088013,1.9449875354766846
Cars|SUN397,2,0.2811255156993866,0.2811255156993866,0.2811255156993866,2.1353158950805664,2.1353158950805664,2.1353158950805664,3.309507369995117,3.309507369995117,3.309507369995117,0.9369020232767807,0.9369020232767807,0.9369020232767807,-0.05241366848349571,-0.05241366848349571,-0.05241366848349571,-4518.89501953125,-4518.89501953125,-4518.89501953125,1520.0712890625,1520.0712890625,1520.0712890625,0.2557000710116699,0.2557000710116699,0.2557000710116699,0.13399490974843503,0.13399490974843503,0.13399490974843503,0.24629767790436743,0.24629767790436743,0.24629767790436743,0.4024586429446936,0.4024586429446936,0.4024586429446936,0.34432258665561677,0.34432258665561677,0.34432258665561677,0.9928080403804779,0.9928080403804779,0.9928080403804779,0.036100901663303375,0.036100901663303375,0.036100901663303375,0.28846561908721924,0.28846561908721924,0.28846561908721924,3.9294800758361816,3.9294800758361816,3.9294800758361816,2.827354073524475,2.827354073524475,2.827354073524475,0.9596400766387169,0.9596400766387169,0.9596400766387169,1.998620867729187,1.9508718252182007
Cars|SVHN,2,0.1851716935634613,0.1851716935634613,0.1851716935634613,1.5534573793411255,1.5534573793411255,1.5534573793411255,3.728182554244995,3.728182554244995,3.728182554244995,0.8482647473654237,0.8482647473654237,0.8482647473654237,-1.9870415144396247e-06,-1.9870415144396247e-06,-1.9870415144396247e-06,-3.012900692822562e-11,-3.012900692822562e-11,-3.012900692822562e-11,1516.2816162109375,1516.2816162109375,1516.2816162109375,0.12912840384524316,0.12912840384524316,0.12912840384524316,0.06517255367711186,0.06517255367711186,0.06517255367711186,0.17969981715083122,0.17969981715083122,0.17969981715083122,0.2888169038295746,0.2888169038295746,0.2888169038295746,0.2377028200030327,0.2377028200030327,0.2377028200030327,0.9475286674499511,0.9475286674499511,0.9475286674499511,0.027750547975301743,0.027750547975301743,0.027750547975301743,0.2051803022623062,0.2051803022623062,0.2051803022623062,3.7946197986602783,3.7946197986602783,3.7946197986602783,2.7195934057235718,2.7195934057235718,2.7195934057235718,0.9642271793020888,0.9642271793020888,0.9642271793020888,1.9992924928665161,1.9447885751724243
DTD|EuroSAT,2,0.2593582272529602,0.2593582272529602,0.2593582272529602,4.1707563400268555,4.1707563400268555,4.1707563400268555,5.924707889556885,5.924707889556885,5.924707889556885,0.44270585515527755,0.44270585515527755,0.44270585515527755,4.35676248192826e-38,4.35676248192826e-38,4.35676248192826e-38,8.561933617024632e-43,8.561933617024632e-43,8.561933617024632e-43,1678.05126953125,1678.05126953125,1678.05126953125,0.17783991725184023,0.17783991725184023,0.17783991725184023,0.10810716398060322,0.10810716398060322,0.10810716398060322,0.2333650331199169,0.2333650331199169,0.2333650331199169,0.3389296133816242,0.3389296133816242,0.3389296133816242,0.3153537392616272,0.3153537392616272,0.3153537392616272,0.9706153762340546,0.9706153762340546,0.9706153762340546,0.04307468608021736,0.04307468608021736,0.04307468608021736,0.23565340042114258,0.23565340042114258,0.23565340042114258,3.244525194168091,3.244525194168091,3.244525194168091,2.341129779815674,2.341129779815674,2.341129779815674,0.9177553804863892,0.9177553804863892,0.9177553804863892,1.9976165294647217,1.9314979314804077
DTD|GTSRB,2,0.21252723038196564,0.21252723038196564,0.21252723038196564,1.3719671964645386,1.3719671964645386,1.3719671964645386,3.198267936706543,3.198267936706543,3.198267936706543,0.9067739740201995,0.9067739740201995,0.9067739740201995,-2.629172612955699e-08,-2.629172612955699e-08,-2.629172612955699e-08,-4.4119159822893217e-13,-4.4119159822893217e-13,-4.4119159822893217e-13,1678.05126953125,1678.05126953125,1678.05126953125,0.15259508956689388,0.15259508956689388,0.15259508956689388,0.0804180484265089,0.0804180484265089,0.0804180484265089,0.19464195899665357,0.19464195899665357,0.19464195899665357,0.3140910381823778,0.3140910381823778,0.3140910381823778,0.26753958165645597,0.26753958165645597,0.26753958165645597,0.9813095808029175,0.9813095808029175,0.9813095808029175,0.042315542697906494,0.042315542697906494,0.042315542697906494,0.23980019986629486,0.23980019986629486,0.23980019986629486,3.29878830909729,3.29878830909729,3.29878830909729,2.3812958002090454,2.3812958002090454,2.3812958002090454,0.950657700719221,0.950657700719221,0.950657700719221,1.9984627962112427,1.9389996528625488
DTD|MNIST,2,0.15730924904346466,0.15730924904346466,0.15730924904346466,1.2997143268585205,1.2997143268585205,1.2997143268585205,3.7561144828796387,3.7561144828796387,3.7561144828796387,0.8616610894182472,0.8616610894182472,0.8616610894182472,-7.736520266381133e-15,-7.736520266381133e-15,-7.736520266381133e-15,-1.298239291886663e-19,-1.298239291886663e-19,-1.298239291886663e-19,1678.05126953125,1678.05126953125,1678.05126953125,0.12954391851089894,0.12954391851089894,0.12954391851089894,0.06994802160188555,0.06994802160188555,0.06994802160188555,0.17781210832297803,0.17781210832297803,0.17781210832297803,0.2881211578845978,0.2881211578845978,0.2881211578845978,0.24883417591452597,0.24883417591452597,0.24883417591452597,0.9490800726413727,0.9490800726413727,0.9490800726413727,0.03848227858543396,0.03848227858543396,0.03848227858543396,0.22779788076877594,0.22779788076877594,0.22779788076877594,3.3761603832244873,3.3761603832244873,3.3761603832244873,2.4330272674560547,2.4330272674560547,2.4330272674560547,0.9930339502158289,0.9930339502158289,0.9930339502158289,1.999374508857727,1.9392340183258057
