tasks,k,method,normalized_accuracy,mean_raw_accuracy
Cars|DTD,2,weight_averaging,0.8999858637263217,0.6935
Cars|DTD,2,task_arithmetic,0.8145219920029081,0.627
Cars|DTD,2,ties,0.7550840098550022,0.5805
Cars|EuroSAT,2,weight_averaging,0.9612290862290862,0.846
Cars|EuroSAT,2,task_arithmetic,0.904869154869155,0.795
Cars|EuroSAT,2,ties,0.7776169026169026,0.6735
Cars|GTSRB,2,weight_averaging,0.9324486429749588,0.8160000000000001
Cars|GTSRB,2,task_arithmetic,0.8467322151532679,0.7330000000000001
Cars|GTSRB,2,ties,0.6945702932545037,0.5865
Cars|MNIST,2,weight_averaging,0.9728617068135623,0.8554999999999999
Cars|MNIST,2,task_arithmetic,0.932458751917127,0.82
Cars|MNIST,2,ties,0.8479890730392234,0.742
Cars|RESISC45,2,weight_averaging,0.9241915300006587,0.796
Cars|RESISC45,2,task_arithmetic,0.8787679202616963,0.754
Cars|RESISC45,2,ties,0.7956486421216711,0.6779999999999999
Cars|SUN397,2,weight_averaging,0.9543248852641117,0.706
Cars|SUN397,2,task_arithmetic,0.9365262065538309,0.6925
Cars|SUN397,2,ties,0.8854139261597825,0.6545000000000001
Cars|SVHN,2,weight_averaging,0.9515684051398337,0.8274999999999999
Cars|SVHN,2,task_arithmetic,0.8704459561602419,0.752
Cars|SVHN,2,ties,0.728968253968254,0.6174999999999999
DTD|EuroSAT,2,weight_averaging,0.9102442136793282,0.8195
DTD|EuroSAT,2,task_arithmetic,0.8190423247675156,0.7395
DTD|EuroSAT,2,ties,0.6773643872880514,0.6065
DTD|GTSRB,2,weight_averaging,0.8962653624666481,0.8025
DTD|GTSRB,2,task_arithmetic,0.781420300604712,0.6970000000000001
DTD|GTSRB,2,ties,0.5849107869497584,0.513
DTD|MNIST,2,weight_averaging,0.9226611131103233,0.8305
DTD|MNIST,2,task_arithmetic,0.8539486142907091,0.7729999999999999
DTD|MNIST,2,ties,0.738963072423377,0.6695
DTD|RESISC45,2,weight_averaging,0.8945696472501135,0.7865
DTD|RESISC45,2,task_arithmetic,0.8015491537592516,0.706
DTD|RESISC45,2,ties,0.6974214205019375,0.614
DTD|SUN397,2,weight_averaging,0.9117427916719385,0.687
DTD|SUN397,2,task_arithmetic,0.8608522064302082,0.647
DTD|SUN397,2,ties,0.7825727861892511,0.5865
DTD|SVHN,2,weight_averaging,0.8988095238095238,0.8
DTD|SVHN,2,task_arithmetic,0.791638105623929,0.7025
DTD|SVHN,2,ties,0.6288933894168354,0.5535
EuroSAT|GTSRB,2,weight_averaging,0.9163763966395546,0.9105000000000001
EuroSAT|GTSRB,2,task_arithmetic,0.8059977994188521,0.8009999999999999
EuroSAT|GTSRB,2,ties,0.6070351728246466,0.6035
EuroSAT|MNIST,2,weight_averaging,0.9724694604333521,0.9704999999999999
EuroSAT|MNIST,2,task_arithmetic,0.9088556962177825,0.907
EuroSAT|MNIST,2,ties,0.76960711965727,0.768
EuroSAT|RESISC45,2,weight_averaging,0.91959594449221,0.9035
EuroSAT|RESISC45,2,task_arithmetic,0.8795657690885907,0.8640000000000001
EuroSAT|RESISC45,2,ties,0.744815354773861,0.731
EuroSAT|SUN397,2,weight_averaging,0.9670098275070651,0.835
EuroSAT|SUN397,2,task_arithmetic,0.935788689241728,0.804
EuroSAT|SUN397,2,ties,0.8225863985532494,0.6930000000000001
EuroSAT|SVHN,2,weight_averaging,0.9333420154848726,0.9235
EuroSAT|SVHN,2,task_arithmetic,0.8259453330881903,0.8175
EuroSAT|SVHN,2,ties,0.6343052235909379,0.628
GTSRB|MNIST,2,weight_averaging,0.9625780174531693,0.9555
GTSRB|MNIST,2,task_arithmetic,0.8716630661214413,0.8654999999999999
GTSRB|MNIST,2,ties,0.698076517000394,0.6935
GTSRB|RESISC45,2,weight_averaging,0.9184130730592841,0.8965000000000001
GTSRB|RESISC45,2,task_arithmetic,0.8092567238396022,0.7895000000000001
GTSRB|RESISC45,2,ties,0.630365212424614,0.614
GTSRB|SUN397,2,weight_averaging,0.9596819290044065,0.822
GTSRB|SUN397,2,task_arithmetic,0.8850152101460622,0.7475
GTSRB|SUN397,2,ties,0.7257280739034155,0.5945
GTSRB|SVHN,2,weight_averaging,0.9573287614640997,0.942
GTSRB|SVHN,2,task_arithmetic,0.8771089812443196,0.863
GTSRB|SVHN,2,ties,0.6099272907543585,0.6000000000000001
MNIST|RESISC45,2,weight_averaging,0.9554456939282578,0.9375
MNIST|RESISC45,2,task_arithmetic,0.9000643007861759,0.8835
MNIST|RESISC45,2,ties,0.782465654224083,0.768
MNIST|SUN397,2,weight_averaging,0.9820441988950276,0.8474999999999999
MNIST|SUN397,2,task_arithmetic,0.9613509035393473,0.828
MNIST|SUN397,2,ties,0.8782078279036003,0.7484999999999999
MNIST|SVHN,2,weight_averaging,0.9683847460749596,0.9575
MNIST|SVHN,2,task_arithmetic,0.9302673326100751,0.9199999999999999
MNIST|SVHN,2,ties,0.7789659795713673,0.771
