density,tasks,k,method,normalized_accuracy,mean_raw_accuracy
0.05,Cars|DTD,2,ties,0.6744744813790804,0.5655
0.05,Cars|EuroSAT,2,ties,0.6468156359393232,0.5905
0.05,Cars|GTSRB,2,ties,0.6265307685961129,0.5675
0.05,Cars|MNIST,2,ties,0.7523814149566552,0.6945
0.05,Cars|RESISC45,2,ties,0.7501282331777519,0.6795
0.05,Cars|SUN397,2,ties,0.8235434515378232,0.659
0.05,Cars|SVHN,2,ties,0.695785607124997,0.633
0.05,DTD|EuroSAT,2,ties,0.5269778325123153,0.475
0.05,DTD|GTSRB,2,ties,0.5030240831964969,0.449
0.05,DTD|MNIST,2,ties,0.6313589784130718,0.579
0.05,DTD|RESISC45,2,ties,0.6292718596059114,0.5630000000000001
0.05,DTD|SUN397,2,ties,0.7082433286794341,0.5475
0.05,DTD|SVHN,2,ties,0.5725897255453904,0.515
0.05,EuroSAT|GTSRB,2,ties,0.4767727272727273,0.47450000000000003
0.05,EuroSAT|MNIST,2,ties,0.5885170511534604,0.5875
0.05,EuroSAT|RESISC45,2,ties,0.6092291666666667,0.595
0.05,EuroSAT|SUN397,2,ties,0.6786497326203209,0.5700000000000001
0.05,EuroSAT|SVHN,2,ties,0.5419387755102041,0.536
0.05,GTSRB|MNIST,2,ties,0.5803425427798546,0.577
0.05,GTSRB|RESISC45,2,ties,0.585022095959596,0.5685
0.05,GTSRB|SUN397,2,ties,0.6597593582887701,0.5485
0.05,GTSRB|SVHN,2,ties,0.5353689960832818,0.527
0.05,MNIST|RESISC45,2,ties,0.7112958667669675,0.696
0.05,MNIST|SUN397,2,ties,0.7852125896405795,0.6759999999999999
0.05,MNIST|SVHN,2,ties,0.6752036722412134,0.6679999999999999
0.05,RESISC45|SUN397,2,ties,0.7891794786096258,0.6655
0.05,RESISC45|SVHN,2,ties,0.6495429421768708,0.6295
0.05,SUN397|SVHN,2,ties,0.7270680999672596,0.6125
0.1,Cars|DTD,2,ties,0.6912308660638842,0.5795
0.1,Cars|EuroSAT,2,ties,0.7059842473745623,0.6479999999999999
0.1,Cars|GTSRB,2,ties,0.6540822460309041,0.594
0.1,Cars|MNIST,2,ties,0.8031773266122756,0.744
0.1,Cars|RESISC45,2,ties,0.7804842473745623,0.7075
