method,metric,coefficient
weight_averaging,tv_cosine,0.0
weight_averaging,tv_l2,0.39760077229836654
weight_averaging,tv_dot,0.0
weight_averaging,tv_norm_ratio,-0.07840385910008775
weight_averaging,tv_norm_mean,0.12101973299731464
weight_averaging,eff_rank_global,0.08909388497533849
weight_averaging,eff_rank_layerwise,-0.2986586348489586
weight_averaging,sub_sv_overlap,0.056098493940634854
weight_averaging,sub_left_top,-0.11465603991945386
weight_averaging,sub_right_top,0.40402201810103616
weight_averaging,sub_right_bot,-0.49152166136547226
task_arithmetic,tv_cosine,-0.017805847634480537
task_arithmetic,tv_l2,0.25660260122217027
task_arithmetic,tv_dot,0.046644878383630003
task_arithmetic,tv_norm_ratio,-0.031341434231431466
task_arithmetic,tv_norm_mean,0.2078647915055024
task_arithmetic,eff_rank_global,0.06302079831960936
task_arithmetic,eff_rank_layerwise,-0.16533732097891118
task_arithmetic,sub_sv_overlap,-0.24021556666706168
task_arithmetic,sub_left_top,-0.07941409380881667
task_arithmetic,sub_right_top,0.50051513449537
task_arithmetic,sub_right_bot,-0.359429618550406
ties,tv_cosine,-0.06792200503809484
ties,tv_l2,0.13351020210575631
ties,tv_dot,0.16337688908129536
ties,tv_norm_ratio,0.02064279578447604
ties,tv_norm_mean,0.6679576944697583
ties,eff_rank_global,0.04232360385796625
ties,eff_rank_layerwise,-0.04536041031012568
ties,sub_sv_overlap,-0.21840213088097304
ties,sub_left_top,0.0
ties,sub_right_top,0.17738161384292006
ties,sub_right_bot,-0.12118250050492763
