tasks,k,act_cosine,agg_min_act_cosine,agg_max_act_cosine,act_dot,agg_min_act_dot,agg_max_act_dot,act_l2,agg_min_act_l2,agg_max_act_l2,act_magnitude_ratio,agg_min_act_magnitude_ratio,agg_max_act_magnitude_ratio,grad_cosine,agg_min_grad_cosine,agg_max_grad_cosine,grad_dot,agg_min_grad_dot,agg_max_grad_dot,grad_l2,agg_min_grad_l2,agg_max_grad_l2,sub_interact_bot,agg_min_sub_interact_bot,agg_max_sub_interact_bot,sub_interact_top,agg_min_sub_interact_top,agg_max_sub_interact_top,sub_left_top,agg_min_sub_left_top,agg_max_sub_left_top,sub_right_bot,agg_min_sub_right_bot,agg_max_sub_right_bot,sub_right_top,agg_min_sub_right_top,agg_max_sub_right_top,sub_sv_overlap,agg_min_sub_sv_overlap,agg_max_sub_sv_overlap,tv_cosine,agg_min_tv_cosine,agg_max_tv_cosine,tv_dot,agg_min_tv_dot,agg_max_tv_dot,tv_l2,agg_min_tv_l2,agg_max_tv_l2,tv_norm_mean,agg_min_tv_norm_mean,agg_max_tv_norm_mean,tv_norm_ratio,agg_min_tv_norm_ratio,agg_max_tv_norm_ratio,eff_rank_global,eff_rank_layerwise
Cars|DTD,2,0.13455632328987122,0.13455632328987122,0.13455632328987122,1.0575670003890991,1.0575670003890991,1.0575670003890991,3.690086841583252,3.690086841583252,3.690086841583252,0.9608204022035132,0.9608204022035132,0.9608204022035132,-0.03735639899969101,-0.03735639899969101,-0.03735639899969101,-127583.1640625,-127583.1640625,-127583.1640625,2660.596923828125,2660.596923828125,2660.596923828125,0.16898704293183983,0.16898704293183983,0.16898704293183983,0.10747514717280865,0.10747514717280865,0.10747514717280865,0.18663731180131435,0.18663731180131435,0.18663731180131435,0.3259086299687624,0.3259086299687624,0.3259086299687624,0.3047768068313599,0.3047768068313599,0.3047768068313599,0.9963883805274963,0.9963883805274963,0.9963883805274963,0.03282778710126877,0.03282778710126877,0.03282778710126877,0.19501541554927826,0.19501541554927826,0.19501541554927826,3.3997128009796143,3.3997128009796143,3.3997128009796143,2.44054114818573,2.44054114818573,2.44054114818573,0.9024110270416538,0.9024110270416538,0.9024110270416538,1.9977645874023438,1.9387860298156738
Cars|EuroSAT,2,0.16764789819717407,0.16764789819717407,0.16764789819717407,2.969625949859619,2.969625949859619,2.969625949859619,6.371657848358154,6.371657848358154,6.371657848358154,0.4618040611571106,0.4618040611571106,0.4618040611571106,1.1226428023781728e-32,1.1226428023781728e-32,1.1226428023781728e-32,2.0254112406511013e-37,2.0254112406511013e-37,2.0254112406511013e-37,1804.23974609375,1804.23974609375,1804.23974609375,0.12213824848178774,0.12213824848178774,0.12213824848178774,0.0805885361880064,0.0805885361880064,0.0805885361880064,0.16340567015111446,0.16340567015111446,0.16340567015111446,0.2808624716103077,0.2808624716103077,0.2808624716103077,0.26431172996759417,0.26431172996759417,0.26431172996759417,0.9690770494937897,0.9690770494937897,0.9690770494937897,0.028171755373477936,0.028171755373477936,0.028171755373477936,0.15054944157600403,0.15054944157600403,0.15054944157600403,3.257267475128174,3.257267475128174,3.257267475128174,2.3242818117141724,2.3242818117141724,2.3242818117141724,0.8117864359076528,0.8117864359076528,0.8117864359076528,1.9907958507537842,1.925270915031433
Cars|GTSRB,2,0.16705358028411865,0.16705358028411865,0.16705358028411865,1.1292600631713867,1.1292600631713867,1.1292600631713867,3.3923165798187256,3.3923165798187256,3.3923165798187256,0.8263739697081955,0.8263739697081955,0.8263739697081955,-0.00015942571917548776,-0.00015942571917548776,-0.00015942571917548776,-2.876420435171667e-09,-2.876420435171667e-09,-2.876420435171667e-09,1804.23974609375,1804.23974609375,1804.23974609375,0.12614815718028694,0.12614815718028694,0.12614815718028694,0.08425802771002054,0.08425802771002054,0.08425802771002054,0.16625771507620812,0.16625771507620812,0.16625771507620812,0.27887945041060447,0.27887945041060447,0.27887945041060447,0.2751843988895416,0.2751843988895416,0.2751843988895416,0.9743295979499816,0.9743295979499816,0.9743295979499816,0.03436148166656494,0.03436148166656494,0.03436148166656494,0.1694255918264389,0.1694255918264389,0.1694255918264389,3.1516969203948975,3.1516969203948975,3.1516969203948975,2.243738055229187,2.243738055229187,2.243738055229187,0.7490022740383472,0.7490022740383472,0.7490022740383472,1.9774025678634644,1.9147498607635498
Cars|MNIST,2,0.03590553626418114,0.03590553626418114,0.03590553626418114,0.25651517510414124,0.25651517510414124,0.25651517510414124,3.7291431427001953,3.7291431427001953,3.7291431427001953,0.8733535921126472,0.8733535921126472,0.8733535921126472,-0.014414722099900246,-0.014414722099900246,-0.014414722099900246,-2.600783943762508e-07,-2.600783943762508e-07,-2.600783943762508e-07,1804.23974609375,1804.23974609375,1804.23974609375,0.10976220468524843,0.10976220468524843,0.10976220468524843,0.08107058010995388,0.08107058010995388,0.08107058010995388,0.16568135023117064,0.16568135023117064,0.16568135023117064,0.26106827825307843,0.26106827825307843,0.26106827825307843,0.2650840440392494,0.2650840440392494,0.2650840440392494,0.937934502363205,0.937934502363205,0.937934502363205,0.033546414226293564,0.033546414226293564,0.033546414226293564,0.1877029538154602,0.1877029538154602,0.1877029538154602,3.3119091987609863,3.3119091987609863,3.3119091987609863,2.3732614517211914,2.3732614517211914,2.3732614517211914,0.8499662499702643,0.8499662499702643,0.8499662499702643,1.9940177202224731,1.9299826622009277
Cars|RESISC45,2,0.17577748000621796,0.17577748000621796,0.17577748000621796,1.865338683128357,1.865338683128357,1.865338683128357,4.268032550811768,4.268032550811768,4.268032550811768,0.770844867621076,0.770844867621076,0.770844867621076,-2.0246881831553765e-05,-2.0246881831553765e-05,-2.0246881831553765e-05,-3.6531139224749154e-10,-3.6531139224749154e-10,-3.6531139224749154e-10,1804.23974609375,1804.23974609375,1804.23974609375,0.17789991225581617,0.17789991225581617,0.17789991225581617,0.12016835633665324,0.12016835633665324,0.12016835633665324,0.18599085412919522,0.18599085412919522,0.18599085412919522,0.33323095068335534,0.33323095068335534,0.33323095068335534,0.3223198503255844,0.3223198503255844,0.3223198503255844,0.9953210353851318,0.9953210353851318,0.9953210353851318,0.03074871376156807,0.03074871376156807,0.03074871376156807,0.18653911352157593,0.18653911352157593,0.18653911352157593,3.43625807762146,3.43625807762146,3.43625807762146,2.4650954008102417,2.4650954008102417,2.4650954008102417,0.9215511595439732,0.9215511595439732,0.9215511595439732,1.99846613407135,1.9419525861740112
Cars|SUN397,2,0.2676057517528534,0.2676057517528534,0.2676057517528534,1.982195496559143,1.982195496559143,1.982195496559143,3.3049893379211426,3.3049893379211426,3.3049893379211426,0.9055022475607939,0.9055022475607939,0.9055022475607939,-0.0008720472687855363,-0.0008720472687855363,-0.0008720472687855363,-1.5734064717776164e-08,-1.5734064717776164e-08,-1.5734064717776164e-08,1804.23974609375,1804.23974609375,1804.23974609375,0.21690386246889828,0.21690386246889828,0.21690386246889828,0.15567668557167053,0.15567668557167053,0.15567668557167053,0.20340888559818268,0.20340888559818268,0.20340888559818268,0.36886436238884923,0.36886436238884923,0.36886436238884923,0.3718743270635605,0.3718743270635605,0.3718743270635605,0.9923281753063202,0.9923281753063202,0.9923281753063202,0.030238162726163864,0.030238162726163864,0.030238162726163864,0.2130778431892395,0.2130778431892395,0.2130778431892395,3.702666759490967,3.702666759490967,3.702666759490967,2.6560899019241333,2.6560899019241333,2.6560899019241333,0.9342021845708445,0.9342021845708445,0.9342021845708445,1.9981024265289307,1.9476664066314697
Cars|SVHN,2,0.23305250704288483,0.23305250704288483,0.23305250704288483,1.5709350109100342,1.5709350109100342,1.5709350109100342,3.2546608448028564,3.2546608448028564,3.2546608448028564,0.8240297943100917,0.8240297943100917,0.8240297943100917,0.0030662643257528543,0.0030662643257528543,0.0030662643257528543,1.062753725022958e-07,1.062753725022958e-07,1.062753725022958e-07,1804.23974609375,1804.23974609375,1804.23974609375,0.1069584134966135,0.1069584134966135,0.1069584134966135,0.07086245819926262,0.07086245819926262,0.07086245819926262,0.15941245667636395,0.15941245667636395,0.15941245667636395,0.26173085197806356,0.26173085197806356,0.26173085197806356,0.24886576309800149,0.24886576309800149,0.24886576309800149,0.9492643785476684,0.9492643785476684,0.9492643785476684,0.02540505677461624,0.02540505677461624,0.02540505677461624,0.16244852542877197,0.16244852542877197,0.16244852542877197,3.532566547393799,3.532566547393799,3.532566547393799,2.528969645500183,2.528969645500183,2.528969645500183,0.9713413741168494,0.9713413741168494,0.9713413741168494,1.99973464012146,1.9424235820770264
DTD|EuroSAT,2,0.2753628194332123,0.2753628194332123,0.2753628194332123,4.686529159545898,4.686529159545898,4.686529159545898,6.044483184814453,6.044483184814453,6.044483184814453,0.4437107637801908,0.4437107637801908,0.4437107637801908,-2.094664517734495e-32,-2.094664517734495e-32,-2.094664517734495e-32,-3.965081400321376e-37,-3.965081400321376e-37,-3.965081400321376e-37,1892.9071044921875,1892.9071044921875,1892.9071044921875,0.1494294590363279,0.1494294590363279,0.1494294590363279,0.11567817397415638,0.11567817397415638,0.11567817397415638,0.20610710225999354,0.20610710225999354,0.20610710225999354,0.30773391894996166,0.30773391894996166,0.30773391894996166,0.32891391068696973,0.32891391068696973,0.32891391068696973,0.9728237581253052,0.9728237581253052,0.9728237581253052,0.040233127772808075,0.040233127772808075,0.040233127772808075,0.1940230429172516,0.1940230429172516,0.1940230429172516,3.0532758235931396,3.0532758235931396,3.0532758235931396,2.1990880966186523,2.1990880966186523,2.1990880966186523,0.8995750401775422,0.8995750401775422,0.8995750401775422,1.9964407682418823,1.9293714761734009
DTD|GTSRB,2,0.2134845107793808,0.2134845107793808,0.2134845107793808,1.3865854740142822,1.3865854740142822,1.3865854740142822,3.2194294929504395,3.2194294929504395,3.2194294929504395,0.8600712139469742,0.8600712139469742,0.8600712139469742,0.00014728061796631664,0.00014728061796631664,0.00014728061796631664,2.7878817032700454e-09,2.7878817032700454e-09,2.7878817032700454e-09,1892.9071044921875,1892.9071044921875,1892.9071044921875,0.12602454867679624,0.12602454867679624,0.12602454867679624,0.08343543116003276,0.08343543116003276,0.08343543116003276,0.17398679494857788,0.17398679494857788,0.17398679494857788,0.28015341304242614,0.28015341304242614,0.28015341304242614,0.27399821430444715,0.27399821430444715,0.27399821430444715,0.9806841325759887,0.9806841325759887,0.9806841325759887,0.040063027292490005,0.040063027292490005,0.040063027292490005,0.17826057970523834,0.17826057970523834,0.17826057970523834,2.951887845993042,2.951887845993042,2.951887845993042,2.118544340133667,2.118544340133667,2.118544340133667,0.830001242885715,0.830001242885715,0.830001242885715,1.9873297214508057,1.919098138809204
DTD|MNIST,2,0.060139190405607224,0.060139190405607224,0.060139190405607224,0.4128110706806183,0.4128110706806183,0.4128110706806183,3.6007614135742188,3.6007614135742188,3.6007614135742188,0.9089665353792732,0.9089665353792732,0.9089665353792732,0.010295899584889412,0.010295899584889412,0.010295899584889412,1.948910437477025e-07,1.948910437477025e-07,1.948910437477025e-07,1892.9071044921875,1892.9071044921875,1892.9071044921875,0.11883537785615772,0.11883537785615772,0.11883537785615772,0.07638619754463434,0.07638619754463434,0.07638619754463434,0.16245963543653488,0.16245963543653488,0.16245963543653488,0.2711743202060461,0.2711743202060461,0.2711743202060461,0.25994367986917494,0.25994367986917494,0.25994367986917494,0.9438604724407196,0.9438604724407196,0.9438604724407196,0.03787250444293022,0.03787250444293022,0.03787250444293022,0.1912289261817932,0.1912289261817932,0.1912289261817932,3.122396945953369,3.122396945953369,3.122396945953369,2.2480677366256714,2.2480677366256714,2.2480677366256714,0.9418837142944523,0.9418837142944523,0.9418837142944523,1.9982374906539917,1.9291541576385498
