tasks,k,act_cosine,agg_min_act_cosine,agg_max_act_cosine,act_dot,agg_min_act_dot,agg_max_act_dot,act_l2,agg_min_act_l2,agg_max_act_l2,act_magnitude_ratio,agg_min_act_magnitude_ratio,agg_max_act_magnitude_ratio,grad_cosine,agg_min_grad_cosine,agg_max_grad_cosine,grad_dot,agg_min_grad_dot,agg_max_grad_dot,grad_l2,agg_min_grad_l2,agg_max_grad_l2,sub_interact_bot,agg_min_sub_interact_bot,agg_max_sub_interact_bot,sub_interact_top,agg_min_sub_interact_top,agg_max_sub_interact_top,sub_left_top,agg_min_sub_left_top,agg_max_sub_left_top,sub_right_bot,agg_min_sub_right_bot,agg_max_sub_right_bot,sub_right_top,agg_min_sub_right_top,agg_max_sub_right_top,sub_sv_overlap,agg_min_sub_sv_overlap,agg_max_sub_sv_overlap,tv_cosine,agg_min_tv_cosine,agg_max_tv_cosine,tv_dot,agg_min_tv_dot,agg_max_tv_dot,tv_l2,agg_min_tv_l2,agg_max_tv_l2,tv_norm_mean,agg_min_tv_norm_mean,agg_max_tv_norm_mean,tv_norm_ratio,agg_min_tv_norm_ratio,agg_max_tv_norm_ratio,eff_rank_global,eff_rank_layerwise
Cars|DTD,2,0.4401797652244568,0.4401797652244568,0.4401797652244568,1.7882204055786133,1.7882204055786133,1.7882204055786133,2.146897315979004,2.146897315979004,2.146897315979004,0.8850457360602333,0.8850457360602333,0.8850457360602333,-0.013506595976650715,-0.013506595976650715,-0.013506595976650715,-3474.403564453125,-3474.403564453125,-3474.403564453125,740.1087036132812,740.1087036132812,740.1087036132812,0.16898704293183983,0.16898704293183983,0.16898704293183983,0.10747514717280865,0.10747514717280865,0.10747514717280865,0.18663731180131435,0.18663731180131435,0.18663731180131435,0.3259086299687624,0.3259086299687624,0.3259086299687624,0.3047768068313599,0.3047768068313599,0.3047768068313599,0.9963883805274963,0.9963883805274963,0.9963883805274963,0.03282778710126877,0.03282778710126877,0.03282778710126877,0.19501541554927826,0.19501541554927826,0.19501541554927826,3.3997128009796143,3.3997128009796143,3.3997128009796143,2.44054114818573,2.44054114818573,2.44054114818573,0.9024110270416538,0.9024110270416538,0.9024110270416538,1.9977645874023438,1.9387860298156738
Cars|EuroSAT,2,0.3228403925895691,0.3228403925895691,0.3228403925895691,3.474607467651367,3.474607467651367,3.474607467651367,4.782921314239502,4.782921314239502,4.782921314239502,0.4264884837384205,0.4264884837384205,0.4264884837384205,1.5623604632253318e-09,1.5623604632253318e-09,1.5623604632253318e-09,6.765468990154594e-15,6.765468990154594e-15,6.765468990154594e-15,433.0490417480469,433.0490417480469,433.0490417480469,0.12213824848178774,0.12213824848178774,0.12213824848178774,0.0805885361880064,0.0805885361880064,0.0805885361880064,0.16340567015111446,0.16340567015111446,0.16340567015111446,0.2808624716103077,0.2808624716103077,0.2808624716103077,0.26431172996759417,0.26431172996759417,0.26431172996759417,0.9690770494937897,0.9690770494937897,0.9690770494937897,0.028171755373477936,0.028171755373477936,0.028171755373477936,0.15054944157600403,0.15054944157600403,0.15054944157600403,3.257267475128174,3.257267475128174,3.257267475128174,2.3242818117141724,2.3242818117141724,2.3242818117141724,0.8117864359076528,0.8117864359076528,0.8117864359076528,1.9907958507537842,1.925270915031433
Cars|GTSRB,2,0.33864811062812805,0.33864811062812805,0.33864811062812805,1.3353708982467651,1.3353708982467651,1.3353708982467651,2.3036723136901855,2.3036723136901855,2.3036723136901855,0.8590690248500855,0.8590690248500855,0.8590690248500855,-0.02387833595275879,-0.02387833595275879,-0.02387833595275879,-2181.398193359375,-2181.398193359375,-2181.398193359375,486.2933349609375,486.2933349609375,486.2933349609375,0.12614815718028694,0.12614815718028694,0.12614815718028694,0.08425802771002054,0.08425802771002054,0.08425802771002054,0.16625771507620812,0.16625771507620812,0.16625771507620812,0.27887945041060447,0.27887945041060447,0.27887945041060447,0.2751843988895416,0.2751843988895416,0.2751843988895416,0.9743295979499816,0.9743295979499816,0.9743295979499816,0.03436148166656494,0.03436148166656494,0.03436148166656494,0.1694255918264389,0.1694255918264389,0.1694255918264389,3.1516969203948975,3.1516969203948975,3.1516969203948975,2.243738055229187,2.243738055229187,2.243738055229187,0.7490022740383472,0.7490022740383472,0.7490022740383472,1.9774025678634644,1.9147498607635498
Cars|MNIST,2,0.17312249541282654,0.17312249541282654,0.17312249541282654,0.535938560962677,0.535938560962677,0.535938560962677,2.367720127105713,2.367720127105713,2.367720127105713,0.674429281316554,0.674429281316554,0.674429281316554,-0.016186676919460297,-0.016186676919460297,-0.016186676919460297,-0.24290117621421814,-0.24290117621421814,-0.24290117621421814,433.0496520996094,433.0496520996094,433.0496520996094,0.10976220468524843,0.10976220468524843,0.10976220468524843,0.08107058010995388,0.08107058010995388,0.08107058010995388,0.16568135023117064,0.16568135023117064,0.16568135023117064,0.26106827825307843,0.26106827825307843,0.26106827825307843,0.2650840440392494,0.2650840440392494,0.2650840440392494,0.937934502363205,0.937934502363205,0.937934502363205,0.033546414226293564,0.033546414226293564,0.033546414226293564,0.1877029538154602,0.1877029538154602,0.1877029538154602,3.3119091987609863,3.3119091987609863,3.3119091987609863,2.3732614517211914,2.3732614517211914,2.3732614517211914,0.8499662499702643,0.8499662499702643,0.8499662499702643,1.9940177202224731,1.9299826622009277
Cars|RESISC45,2,0.41154617071151733,0.41154617071151733,0.41154617071151733,2.5338833332061768,2.5338833332061768,2.5338833332061768,2.78945255279541,2.78945255279541,2.78945255279541,0.7455164690790885,0.7455164690790885,0.7455164690790885,-0.013149152509868145,-0.013149152509868145,-0.013149152509868145,-2086.5517578125,-2086.5517578125,-2086.5517578125,570.4490356445312,570.4490356445312,570.4490356445312,0.17789991225581617,0.17789991225581617,0.17789991225581617,0.12016835633665324,0.12016835633665324,0.12016835633665324,0.18599085412919522,0.18599085412919522,0.18599085412919522,0.33323095068335534,0.33323095068335534,0.33323095068335534,0.3223198503255844,0.3223198503255844,0.3223198503255844,0.9953210353851318,0.9953210353851318,0.9953210353851318,0.03074871376156807,0.03074871376156807,0.03074871376156807,0.18653911352157593,0.18653911352157593,0.18653911352157593,3.43625807762146,3.43625807762146,3.43625807762146,2.4650954008102417,2.4650954008102417,2.4650954008102417,0.9215511595439732,0.9215511595439732,0.9215511595439732,1.99846613407135,1.9419525861740112
Cars|SUN397,2,0.47828248143196106,0.47828248143196106,0.47828248143196106,2.100857734680176,2.100857734680176,2.100857734680176,2.1428487300872803,2.1428487300872803,2.1428487300872803,0.9569449615996927,0.9569449615996927,0.9569449615996927,0.04888354614377022,0.04888354614377022,0.04888354614377022,14705.7080078125,14705.7080078125,14705.7080078125,800.3876342773438,800.3876342773438,800.3876342773438,0.21690386246889828,0.21690386246889828,0.21690386246889828,0.15567668557167053,0.15567668557167053,0.15567668557167053,0.20340888559818268,0.20340888559818268,0.20340888559818268,0.36886436238884923,0.36886436238884923,0.36886436238884923,0.3718743270635605,0.3718743270635605,0.3718743270635605,0.9923281753063202,0.9923281753063202,0.9923281753063202,0.030238162726163864,0.030238162726163864,0.030238162726163864,0.2130778431892395,0.2130778431892395,0.2130778431892395,3.702666759490967,3.702666759490967,3.702666759490967,2.6560899019241333,2.6560899019241333,2.6560899019241333,0.9342021845708445,0.9342021845708445,0.9342021845708445,1.9981024265289307,1.9476664066314697
Cars|SVHN,2,0.24100174009799957,0.24100174009799957,0.24100174009799957,1.3701467514038086,1.3701467514038086,1.3701467514038086,2.981843948364258,2.981843948364258,2.981843948364258,0.8073805370290107,0.8073805370290107,0.8073805370290107,0.026219045743346214,0.026219045743346214,0.026219045743346214,1382.39208984375,1382.39208984375,1382.39208984375,446.7848205566406,446.7848205566406,446.7848205566406,0.1069584134966135,0.1069584134966135,0.1069584134966135,0.07086245819926262,0.07086245819926262,0.07086245819926262,0.15941245667636395,0.15941245667636395,0.15941245667636395,0.26173085197806356,0.26173085197806356,0.26173085197806356,0.24886576309800149,0.24886576309800149,0.24886576309800149,0.9492643785476684,0.9492643785476684,0.9492643785476684,0.02540505677461624,0.02540505677461624,0.02540505677461624,0.16244852542877197,0.16244852542877197,0.16244852542877197,3.532566547393799,3.532566547393799,3.532566547393799,2.528969645500183,2.528969645500183,2.528969645500183,0.9713413741168494,0.9713413741168494,0.9713413741168494,1.99973464012146,1.9424235820770264
DTD|EuroSAT,2,0.44530826807022095,0.44530826807022095,0.44530826807022095,4.241743564605713,4.241743564605713,4.241743564605713,4.510810375213623,4.510810375213623,4.510810375213623,0.3774618140114832,0.3774618140114832,0.3774618140114832,2.514885188986682e-09,2.514885188986682e-09,2.514885188986682e-09,1.4938283222172208e-14,1.4938283222172208e-14,1.4938283222172208e-14,594.0084228515625,594.0084228515625,594.0084228515625,0.1494294590363279,0.1494294590363279,0.1494294590363279,0.11567817397415638,0.11567817397415638,0.11567817397415638,0.20610710225999354,0.20610710225999354,0.20610710225999354,0.30773391894996166,0.30773391894996166,0.30773391894996166,0.32891391068696973,0.32891391068696973,0.32891391068696973,0.9728237581253052,0.9728237581253052,0.9728237581253052,0.040233127772808075,0.040233127772808075,0.040233127772808075,0.1940230429172516,0.1940230429172516,0.1940230429172516,3.0532758235931396,3.0532758235931396,3.0532758235931396,2.1990880966186523,2.1990880966186523,2.1990880966186523,0.8995750401775422,0.8995750401775422,0.8995750401775422,1.9964407682418823,1.9293714761734009
DTD|GTSRB,2,0.35980767011642456,0.35980767011642456,0.35980767011642456,1.2557101249694824,1.2557101249694824,1.2557101249694824,2.114609718322754,2.114609718322754,2.114609718322754,0.9706493007629384,0.9706493007629384,0.9706493007629384,-0.004221810959279537,-0.004221810959279537,-0.004221810959279537,-529.10205078125,-529.10205078125,-529.10205078125,630.7442626953125,630.7442626953125,630.7442626953125,0.12602454867679624,0.12602454867679624,0.12602454867679624,0.08343543116003276,0.08343543116003276,0.08343543116003276,0.17398679494857788,0.17398679494857788,0.17398679494857788,0.28015341304242614,0.28015341304242614,0.28015341304242614,0.27399821430444715,0.27399821430444715,0.27399821430444715,0.9806841325759887,0.9806841325759887,0.9806841325759887,0.040063027292490005,0.040063027292490005,0.040063027292490005,0.17826057970523834,0.17826057970523834,0.17826057970523834,2.951887845993042,2.951887845993042,2.951887845993042,2.118544340133667,2.118544340133667,2.118544340133667,0.830001242885715,0.830001242885715,0.830001242885715,1.9873297214508057,1.919098138809204
DTD|MNIST,2,0.24247559905052185,0.24247559905052185,0.24247559905052185,0.6643475294113159,0.6643475294113159,0.6643475294113159,2.0867741107940674,2.0867741107940674,2.0867741107940674,0.7620276035889003,0.7620276035889003,0.7620276035889003,-0.09361457824707031,-0.09361457824707031,-0.09361457824707031,-1.9269087314605713,-1.9269087314605713,-1.9269087314605713,594.0116577148438,594.0116577148438,594.0116577148438,0.11883537785615772,0.11883537785615772,0.11883537785615772,0.07638619754463434,0.07638619754463434,0.07638619754463434,0.16245963543653488,0.16245963543653488,0.16245963543653488,0.2711743202060461,0.2711743202060461,0.2711743202060461,0.25994367986917494,0.25994367986917494,0.25994367986917494,0.9438604724407196,0.9438604724407196,0.9438604724407196,0.03787250444293022,0.03787250444293022,0.03787250444293022,0.1912289261817932,0.1912289261817932,0.1912289261817932,3.122396945953369,3.122396945953369,3.122396945953369,2.2480677366256714,2.2480677366256714,2.2480677366256714,0.9418837142944523,0.9418837142944523,0.9418837142944523,1.9982374906539917,1.9291541576385498
