tasks,k,method,normalized_accuracy,mean_raw_accuracy
Cars|DTD,2,weight_averaging,0.9239672129262922,0.772
Cars|DTD,2,task_arithmetic,0.8190567680820366,0.6855
Cars|DTD,2,ties,0.7268172568991383,0.609
Cars|EuroSAT,2,weight_averaging,0.9714959159859977,0.9035
Cars|EuroSAT,2,task_arithmetic,0.9398267211201867,0.874
Cars|EuroSAT,2,ties,0.7867374562427071,0.726
Cars|GTSRB,2,weight_averaging,0.9679637683721698,0.8945
Cars|GTSRB,2,task_arithmetic,0.8726742335843853,0.8035
Cars|GTSRB,2,ties,0.6963326379312377,0.6335
Cars|MNIST,2,weight_averaging,0.9809925693065193,0.9105
Cars|MNIST,2,task_arithmetic,0.9421286028447069,0.876
Cars|MNIST,2,ties,0.8656517978673477,0.804
Cars|RESISC45,2,weight_averaging,0.9528496936989499,0.8660000000000001
Cars|RESISC45,2,task_arithmetic,0.9048880542590432,0.8220000000000001
Cars|RESISC45,2,ties,0.8225915256709452,0.746
Cars|SUN397,2,weight_averaging,0.9585296301611765,0.7689999999999999
Cars|SUN397,2,task_arithmetic,0.9247522760032199,0.741
Cars|SUN397,2,ties,0.8710181643464642,0.6975
Cars|SVHN,2,weight_averaging,0.9712702117019503,0.893
Cars|SVHN,2,task_arithmetic,0.9153531540971115,0.841
Cars|SVHN,2,ties,0.7888767175481628,0.721
DTD|EuroSAT,2,weight_averaging,0.9171453201970443,0.8374999999999999
DTD|EuroSAT,2,task_arithmetic,0.8431896551724137,0.7735
DTD|EuroSAT,2,ties,0.6607660098522168,0.603
DTD|GTSRB,2,weight_averaging,0.9122505846643777,0.8274999999999999
DTD|GTSRB,2,task_arithmetic,0.785190575707817,0.713
DTD|GTSRB,2,ties,0.5809548688859034,0.521
DTD|MNIST,2,weight_averaging,0.915595925708159,0.8355
DTD|MNIST,2,task_arithmetic,0.8481157758991259,0.7795
DTD|MNIST,2,ties,0.7513260224021818,0.692
DTD|RESISC45,2,weight_averaging,0.8920130336617407,0.795
DTD|RESISC45,2,task_arithmetic,0.812163895730706,0.726
DTD|RESISC45,2,ties,0.7098727422003284,0.635
DTD|SUN397,2,weight_averaging,0.9130225758014804,0.711
DTD|SUN397,2,task_arithmetic,0.8404678485814387,0.6519999999999999
DTD|SUN397,2,ties,0.7503589209978663,0.5805
DTD|SVHN,2,weight_averaging,0.9153764954257566,0.8260000000000001
DTD|SVHN,2,task_arithmetic,0.8243314567206192,0.7464999999999999
DTD|SVHN,2,ties,0.6762315270935961,0.6114999999999999
EuroSAT|GTSRB,2,weight_averaging,0.9622878787878788,0.9575
EuroSAT|GTSRB,2,task_arithmetic,0.8661212121212121,0.862
EuroSAT|GTSRB,2,ties,0.6418232323232324,0.639
EuroSAT|MNIST,2,weight_averaging,0.985487963891675,0.984
EuroSAT|MNIST,2,task_arithmetic,0.9549593781344032,0.9535
EuroSAT|MNIST,2,ties,0.7988134403209628,0.7975
EuroSAT|RESISC45,2,weight_averaging,0.9363541666666666,0.9185
EuroSAT|RESISC45,2,task_arithmetic,0.9053125,0.8879999999999999
EuroSAT|RESISC45,2,ties,0.7706458333333334,0.7545
EuroSAT|SUN397,2,weight_averaging,0.9752780748663101,0.8545
EuroSAT|SUN397,2,task_arithmetic,0.9437459893048128,0.826
EuroSAT|SUN397,2,ties,0.8040454545454545,0.6895
EuroSAT|SVHN,2,weight_averaging,0.9614795918367347,0.952
EuroSAT|SVHN,2,task_arithmetic,0.8912448979591837,0.8825000000000001
EuroSAT|SVHN,2,ties,0.6997551020408164,0.6925
GTSRB|MNIST,2,weight_averaging,0.9737515577034133,0.9675
GTSRB|MNIST,2,task_arithmetic,0.9132022329615108,0.9075
GTSRB|MNIST,2,ties,0.7296865343505263,0.7255
GTSRB|RESISC45,2,weight_averaging,0.9520833333333334,0.9285
GTSRB|RESISC45,2,task_arithmetic,0.8573232323232323,0.8354999999999999
GTSRB|RESISC45,2,ties,0.6711332070707071,0.6525000000000001
GTSRB|SUN397,2,weight_averaging,0.9641711229946524,0.84
GTSRB|SUN397,2,task_arithmetic,0.8967320261437908,0.7755
GTSRB|SUN397,2,ties,0.7259655377302436,0.6100000000000001
GTSRB|SVHN,2,weight_averaging,0.9786693465264893,0.964
GTSRB|SVHN,2,task_arithmetic,0.8950061842918986,0.8815
GTSRB|SVHN,2,ties,0.6648886827458256,0.6545
MNIST|RESISC45,2,weight_averaging,0.9714894684052157,0.9510000000000001
MNIST|RESISC45,2,task_arithmetic,0.9280680583416918,0.909
MNIST|RESISC45,2,ties,0.8438121656636577,0.8265
MNIST|SUN397,2,weight_averaging,0.9839565487907573,0.86
MNIST|SUN397,2,task_arithmetic,0.9588873572589426,0.8394999999999999
MNIST|SUN397,2,ties,0.8920256759583564,0.777
MNIST|SVHN,2,weight_averaging,0.9786236259799808,0.9675
MNIST|SVHN,2,task_arithmetic,0.9496376885759319,0.9390000000000001
MNIST|SVHN,2,ties,0.8466143327943013,0.8375
RESISC45|SUN397,2,weight_averaging,0.9571858288770054,0.8180000000000001
RESISC45|SUN397,2,task_arithmetic,0.9199197860962567,0.7835
RESISC45|SUN397,2,ties,0.8482954545454546,0.718
RESISC45|SVHN,2,weight_averaging,0.9482886904761905,0.9199999999999999
RESISC45|SVHN,2,task_arithmetic,0.8839710884353742,0.8574999999999999
RESISC45|SVHN,2,ties,0.7580357142857144,0.735
SUN397|SVHN,2,weight_averaging,0.9783449743533776,0.8465
SUN397|SVHN,2,task_arithmetic,0.9235976208665284,0.7975
SUN397|SVHN,2,ties,0.8084524718978501,0.6890000000000001
Cars|DTD|EuroSAT,3,weight_averaging,0.8748563860260234,0.7836666666666666
Cars|DTD|EuroSAT,3,task_arithmetic,0.8582568627338273,0.769
Cars|DTD|EuroSAT,3,ties,0.7097855907018986,0.632
Cars|DTD|GTSRB,3,weight_averaging,0.8436162974025606,0.751
Cars|DTD|GTSRB,3,task_arithmetic,0.8158284933784873,0.7256666666666667
Cars|DTD|GTSRB,3,ties,0.6594274971754551,0.5796666666666667
Cars|DTD|MNIST,3,weight_averaging,0.8749385850039095,0.785
Cars|DTD|MNIST,3,task_arithmetic,0.8652622272571162,0.7766666666666667
Cars|DTD|MNIST,3,ties,0.7721333835367301,0.6933333333333334
